"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"167","John Brown University",3,1,18880,18880,28196,0.6423,"39400",2,0.8078,0.0349,0.013,0.0313,0.7281,1151,NA,5662
"168","Lees School of Cosmetology",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"169","Career Academy of Hair Design",1,1,NA,NA,NA,NA,"18800",3,0.795,0.0311,0.0062,0.1615,NA,NA,NA,NA
"170","Marsha Kay Beauty College",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.9667,0,0.0333,0,NA,NA,NA,NA
"171","Academy of Salon and Spa",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.8395,0.0247,0.0123,0.0494,NA,NA,NA,NA
"172","Mid-South Community College",2,1,2120,4370,9322,NA,"18500",1,0.3909,0.5731,0.0064,0.0097,NA,NA,4168,4383
"173","Arkansas Northeastern College",1,1,1664,3344,10918,NA,"20400",1,0.6591,0.3104,0.015,0.0126,NA,NA,7033,4666
"174","Margarets Hair Academy Inc",1,1,NA,NA,NA,NA,"12800",3,0.3765,0.5765,0,0.0353,NA,NA,NA,NA
"175","New Tyler Barber College Inc",1,1,NA,NA,NA,NA,"10300",3,0,0,0,0,NA,NA,NA,NA
"176","North Arkansas College",2,1,1440,3672,9159,NA,"22300",1,0.9089,0.0057,0.0047,0.0185,NA,NA,5202,5035
"177","Northwest Technical Institute",1,1,2321,2945,8416,NA,"23500",1,0.8871,0.0226,0.0194,0.071,NA,NA,6743,NA
"178","Ouachita Baptist University",3,1,18940,18940,27430,0.5452,"30000",2,0.8621,0.069,0.0049,0.0197,0.7343,1097,NA,5453
"179","Ouachita Technical College",1,1,2252,4022,11281,NA,"22100",1,0.7826,0.1577,0.0072,0.0191,NA,NA,7329,4245
"180","Ozarka College",2,1,2066,4418,10826,NA,"19000",1,0.9748,0.0024,0.0047,0.0094,NA,NA,4255,4205
"181","University of the Ozarks",3,1,18900,18900,27672,0.4223,"28800",2,0.6779,0.0419,0.0101,0.0487,0.8898,1020,NA,5568
"182","University of Arkansas Community College-Morrilton",1,1,2752,4126,10459,NA,"22500",1,0,0,0,0,NA,NA,6821,4161
"183","Philander Smith College",3,1,9000,9000,19428,0.2117,"22400",2,0.0045,0.9474,0.0015,0.009,0.6925,908,NA,4253
"184","Phillips Community College of the University of Arkansas",1,1,2030,3440,11891,NA,"18100",1,0,0,0,0,NA,NA,6972,4021
