"","INSTNM","PREDDEG","CURROPER","TUITIONFEE_IN","TUITIONFEE_OUT","COSTT4_A","C150_4","EARN","CONTROL","UGDS_WHITE","UGDS_BLACK","UGDS_ASIAN","UGDS_HISP","ADM_RATE","SAT_AVG","NPT4_PUB","AVGFACSAL"
"4065","AmeriTech College",1,1,NA,NA,NA,NA,"25300",3,0.6849,0.0137,0.0137,0.2055,0.7105,NA,NA,NA
"4066","Bridgerland Applied Technology College",1,1,NA,NA,NA,NA,"22900",1,0.8968,0.0057,0.0181,0.0499,1,NA,NA,NA
"4067","Brigham Young University",3,1,4290,4290,15057,0.7663,"38800",2,0,0,0,0,0.6903,1244,NA,9877
"4068","Brigham Young University-Hawaii",3,1,3800,3800,14958,0.5183,"29900",2,0,0,0.0518,0,0.5776,1099,NA,8683
"4069","Utah Career College",2,1,13860,13860,27919,0.7231,"24300",3,0.7338,0.0123,0.0185,0.0692,0.9922,NA,NA,4565
"4070","Cameo College of Essential Beauty",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4071","College of Eastern Utah",2,0,2470,4540,10083,NA,"22800",1,0,0,0,0,NA,NA,5082,5695
"4072","Sherman Kendall's Academy-Sugarhouse",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.6607,0.0536,0.0714,0.1607,NA,NA,NA,NA
"4073","Sherman Kendalls Academy of Beauty Arts & Sciences",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.84,0,0.02,0.1,NA,NA,NA,NA
"4074","Davis Applied Technology College",1,1,NA,NA,NA,NA,"23400",1,0.6556,0.0265,0.0199,0.0871,NA,NA,NA,5156
"4075","Dixie State College of Utah",2,1,3145,10897,15132,0.3102,"25700",1,0.8544,0.0154,0.0106,0.0534,NA,NA,12176,6067
"4076","Evans Hairstyling College",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4077","Evans Hairstyling College",1,1,9100,9100,18700,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4078","Paul Mitchell the School-Salt Lake City",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4079","Premier Hair Academy",1,0,NA,NA,NA,NA,"PrivacySuppressed",3,0.1772,0,0.1266,0.481,NA,NA,NA,NA
"4080","Eagle Gate College",2,1,13609,13609,19342,0.4476,"26900",3,0.4183,0.009,0.0126,0.07,NA,NA,NA,3581
"4081","ITT Technical Institute-Murray",2,0,17148,17148,25533,0.407,"32200",3,0,0.0053,0.0094,0,0.5074,NA,NA,5656
"4082","Latter-day Saints Business College",2,1,2800,2800,7373,NA,"26400",2,0,0,0,0,NA,NA,NA,5912
"4083","Everest College-West Valley City",1,1,16290,16290,26123,0.4183,"22600",3,0,0,0,0,0.7313,NA,NA,3715
"4084","Ogden-Weber Applied Technology College",1,1,NA,NA,NA,NA,"20300",1,0.7694,0.0278,0.0136,0.102,NA,NA,NA,NA
"4085","Snow College",2,1,2542,8238,10143,NA,"23300",1,0.8698,0.0107,0.002,0.029,NA,NA,6427,5334
"4086","Southern Utah University",3,1,4269,12847,13357,0.431,"31300",1,0.8622,0.0136,0.0109,0.0424,0.7188,1012,9250,6004
"4087","Stevens-Henager College-Ogden",2,1,26550,26550,29400,0.8813,"25400",3,0,0,0,0,NA,NA,NA,1565
"4088","Stevens-Henager College of Business-Provo",3,1,14730,14730,24629,0.9963,"25400",3,0.8773,0.016,0,0.0773,0.6516,NA,NA,4288
"4089","Uintah Basin Applied Technology College",1,1,NA,NA,NA,NA,"19800",1,0,0,0,0,1,NA,NA,4641
"4090","Utah State University",3,1,4828,13802,13396,0.5566,"33700",1,0,0,0,0,0.9745,1103,9053,7540
"4091","Utah Valley University",3,1,4048,11888,15486,0.1804,"32900",1,0,0,0,0,NA,NA,12823,6296
"4092","Salt Lake Community College",2,1,2790,8730,11982,NA,"29900",1,0,0,0,0,NA,NA,8963,5137
"4093","University of Utah",3,1,5746,18136,15899,0.5759,"40200",1,0.7832,0.0127,0.0488,0.0569,0.8008,1109,12152,8292
"4094","Weber State University",3,1,4088,11554,12224,0.3472,"35800",1,0.5858,0.0122,0.0199,0.0457,NA,NA,8832,6364
"4095","Westminster College",3,1,24996,24996,29923,0.5587,"38000",2,0,0,0,0,0.8216,1127,NA,7135
"4096","Bennington College",3,1,39760,39760,51950,0.5814,"21200",2,0,0,0,0,0.66,NA,NA,6911
"4097","Burlington College",3,1,20424,20424,30980,0.3846,"23000",2,0.7988,0.0237,0.0178,0.0237,0.8254,NA,NA,4424
"4098","Castleton State College",3,1,8820,18060,18145,0.4717,"30500",1,0,0,0,0,0.7031,957,15258,6193
"4099","Champlain College",3,1,25900,25900,35956,0.6211,"35200",2,0,0,0,0,0.774,1111,NA,7073
"4100","Community College of Vermont",2,1,4876,9652,12756,NA,"23400",1,0,0,0,0,NA,NA,10129,NA
"4101","Goddard College",3,1,12508,12508,22762,0.5455,"30500",2,0,0,0,0,1,NA,NA,4639
"4102","Green Mountain College",3,1,26900,26900,37830,0.438,"22100",2,0,0,0,0,0.617,1065,NA,5396
"4103","Johnson State College",3,1,8716,17956,17704,0.3134,"27900",1,0,0,0,0,0.8465,938,13596,6813
"4104","Lyndon State College",3,1,8820,18060,17297,0.3343,"26900",1,0,0,0,0,0.911,934,12826,6045
"4105","Marlboro College",3,1,33660,33660,43520,0.6026,"18500",2,0.7061,0.0128,0.0128,0.0415,0.7128,NA,NA,5792
"4106","Middlebury College",3,1,NA,NA,52460,0.9171,"43200",2,0,0,0,0,0.2047,1385,NA,9719
"4107","New England Culinary Institute",2,1,NA,NA,NA,0.5727,"31900",3,0.6872,0.0221,0.0269,0.0253,NA,NA,NA,4586
"4108","Norwich University",3,1,27370,27370,36848,0.5356,"35900",2,0,0,0,0,0.6532,1057,NA,6780
"4109","O'Briens Aveda Institute",1,1,NA,NA,NA,NA,"17800",3,0.8621,0.069,0,0.069,NA,NA,NA,NA
"4110","Saint Michael's College",3,1,33215,33215,42000,0.7656,"36400",2,0,0,0,0,0.6879,1130,NA,7930
"4111","School for International Training",4,1,NA,NA,NA,NA,"43500",2,NA,NA,NA,NA,NA,NA,NA,5274
"4112","College of St Joseph",3,1,17550,17550,27940,0.359,"32800",2,0,0,0,0,0.7832,874,NA,4281
"4113","Southern Vermont College",3,1,18880,18880,28820,0.5663,"29300",2,0,0,0,0,0.9347,902,NA,4724
"4114","Sterling College",3,1,23621,23621,30772,0.5,"PrivacySuppressed",2,0.7685,0,0,0.0093,0.7872,NA,NA,3026
"4115","Vermont Law School",4,1,NA,NA,NA,NA,"60600",2,NA,NA,NA,NA,NA,NA,NA,9483
"4116","Vermont Technical College",2,1,10684,19732,19457,0.6157,"37900",1,0,0,0,0,0.6217,959,15938,5621
"4117","University of Vermont",3,1,13554,31410,23570,0.7307,"35300",1,0,0,0,0,0.709,1185,13131,8307
"4118","Bar Palma Beauty Careers Academy",1,1,NA,NA,NA,NA,"19800",3,0.4667,0.5222,0,0,NA,NA,NA,NA
"4119","Advanced Technology Institute",1,1,11735,11735,17129,NA,"32900",3,0.4534,0.4317,0.0278,0.0496,0.7494,NA,NA,3580
"4120","Averett University",3,1,22112,22112,31340,0.516,"37800",2,0,0,0,0,0.2282,930,NA,5559
"4121","Blue Ridge Community College",2,1,3024,8487,7984,NA,"27000",1,0.8571,0.0535,0.0164,0.0365,NA,NA,5485,5936
"4122","Bluefield College",3,1,18020,18020,26044,0.3855,"37500",2,0,0,0,0,0.406,939,NA,4695
"4123","Bridgewater College",3,1,24500,24500,35090,0.5707,"33400",2,0.7956,0.0717,0.0089,0.0184,0.8556,1000,NA,5834
"4124","College of William and Mary",3,1,10800,30964,20806,0.9113,"41500",1,0,0,0,0,0.3351,1339,14229,9084
"4125","MedSpa Careers Institute",2,0,11056,11056,16711,NA,"26300",3,0.3969,0.4656,0.0305,0.0534,0.7436,NA,NA,4739
"4126","Regent University",3,1,11290,11290,25748,NA,"40200",2,0,0,0,0,0.8889,1009,NA,7098
"4127","Central School of Practical Nursing",1,1,NA,NA,NA,NA,NA,1,0.1667,0.5667,0.1333,0.0333,NA,NA,NA,NA
"4128","Central Virginia Community College",2,1,2886,8349,7766,NA,"23400",1,0.7643,0.1777,0.011,0.0188,NA,NA,4774,5771
"4129","Christopher Newport University",3,1,8050,15992,20627,0.5809,"36500",1,0,0,0,0,0.6043,1181,16842,7172
"4130","Suffolk Beauty Academy",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4131","Bryant and Stratton College-Virginia Beach",2,1,14770,14770,18100,0.1724,"20000",3,0,0,0,0,NA,NA,NA,3789
"4132","Bryant and Stratton College-Richmond",2,1,15670,15670,18967,0.3725,"20000",3,0,0,0,0,NA,NA,NA,4458
"4133","Jefferson College of Health Sciences",2,1,17740,17740,27316,0.5778,"51900",2,0.8045,0.1057,0.0114,0.0125,0.4432,946,NA,5362
"4134","Dabney S Lancaster Community College",1,1,2255,6488,7902,NA,"24200",1,0.891,0.0708,0.0045,0.0022,NA,NA,4929,5927
"4135","Danville Community College",1,1,2811,8274,8997,NA,"20300",1,0.5643,0.4024,0.0066,0.014,NA,NA,5621,5601
"4136","Eastern Virginia Medical School",1,1,NA,NA,NA,NA,"66400",2,0.7826,0.0435,0.087,0.087,NA,NA,NA,NA
"4137","Centura College",2,1,NA,NA,NA,0.569,"21000",3,0.3215,0.5162,0.0067,0.05,NA,NA,NA,NA
"4138","Emory and Henry College",3,1,24880,24880,34201,0.5695,"27800",2,0,0,0,0,0.7018,1021,NA,5703
"4139","Eastern Mennonite University",3,1,24220,24220,32900,0.6154,"35500",2,0,0,0,0,0.7139,1095,NA,5423
"4140","Eastern Shore Community College",2,1,2468,2468,8051,NA,"19600",1,0.4951,0.46,0.0056,0.0252,NA,NA,4450,5581
"4141","Ferrum College",3,1,23565,23565,31944,0.3555,"30600",2,0.5042,0.3051,0.0056,0.0304,0.796,890,NA,5088
"4142","George Mason University",3,1,8024,24008,16533,0.6362,"47800",1,0.459,0.0818,0.1629,0.0903,0.6329,1141,12520,9386
"4143","Germanna Community College",2,1,2849,8312,10604,NA,"28200",1,0.7178,0.1549,0.0268,0.0538,NA,NA,7381,5530
"4144","Hampden-Sydney College",3,1,30688,30688,40414,0.6569,"35800",2,0.868,0.0524,0.0103,0.0112,0.5604,1104,NA,7048
"4145","Hampton University",3,1,17212,17212,27740,0.5228,"34100",2,0,0,0,0,NA,NA,NA,5836
"4146","Hollins University",3,1,28115,28115,39505,0.6535,"24000",2,0,0,0,0,0.8778,1111,NA,6561
"4147","J Sargeant Reynolds Community College",2,1,3039,8502,8428,NA,"27100",1,0.5214,0.3604,0.0409,0.0345,NA,NA,5711,5947
"4148","James Madison University",3,1,7244,19376,18702,0.8131,"44200",1,0,0,0,0,0.6507,1144,15608,7201
"4149","John Tyler Community College",2,1,2831,8294,7872,NA,"30600",1,0.5927,0.3067,0.0257,0.0397,NA,NA,5409,5966
"4150","Everest College-Newport News",1,1,28890,28890,41895,NA,"18900",3,0.2504,0.6652,0,0.0429,0.6519,NA,NA,1690
"4151","Liberty University",3,1,17202,17202,27040,0.4428,"29600",2,0,0,0,0,NA,NA,NA,6354
"4152","Longwood University",3,1,8925,17835,20028,0.578,"36500",1,0.6101,0.0438,0.007,0.0194,0.6963,1063,15640,6242
"4153","Lord Fairfax Community College",2,1,2844,8307,10141,NA,"27400",1,0.8476,0.0685,0.0147,0.0364,NA,NA,6837,5831
"4154","Suffolk Public Schools-Sentara Obici Hospital School of Practical Nursing",1,0,NA,NA,NA,NA,"PrivacySuppressed",1,0.75,0.25,0,0,1,NA,NA,NA
"4155","Lynchburg College",3,1,28925,28925,37225,0.6299,"35400",2,0,0,0,0,0.6787,1008,NA,6447
"4156","Lynchburg General Hospital School of Nursing",1,1,7992,7992,14574,NA,"46300",2,0.8976,0.0829,0,0.0098,0.48,980,NA,NA
"4157","Mary Baldwin College",3,1,24585,24585,32890,0.4151,"34600",2,0.6567,0.172,0.0204,0.0385,0.6204,977,NA,6391
"4158","University of Mary Washington",3,1,7112,18840,17048,0.752,"39600",1,0,0,0,0,0.7438,1165,12051,7022
"4159","Marymount University",3,1,22620,22620,31081,0.562,"46000",2,0,0,0,0,0.8264,961,NA,7427
"4160","Danville Regional Medical Center School of Health Professions",1,1,NA,NA,NA,NA,"55000",3,0.8211,0.1684,0,0,NA,NA,NA,NA
"4161","Mountain Empire Community College",1,1,2297,6667,8654,NA,"21000",1,0.97,0.0203,0.0018,0.0018,NA,NA,5053,5845
"4162","National College-Salem",2,1,8149,8149,20089,0.499,"20000",3,0.3994,0.3552,0.0011,0.014,NA,NA,NA,3745
"4163","New River Community College",2,1,2229,6479,7755,NA,"24200",1,0.8739,0.0734,0.0105,0.0134,NA,NA,4992,6200
"4164","Sentara College of Health Sciences",1,1,NA,NA,NA,NA,"49000",2,0.6341,0.1537,0.0878,0.0317,0.2342,NA,NA,NA
"4165","Tidewater Tech-Trades",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.1619,0.7524,0.0095,0.0286,NA,NA,NA,NA
"4166","Norfolk State University",3,1,5872,17931,18081,0.3148,"27900",1,0,0,0,0,0.6297,850,11019,6884
"4167","Northern Virginia Community College",2,1,2523,6957,9434,NA,"34900",1,0.4137,0.1743,0.1428,0.1473,NA,NA,6828,6512
"4168","Old Dominion University",3,1,5902,15862,16163,0.5062,"37300",1,0,0,0,0,0.7218,1035,11890,7782
"4169","Patrick Henry Community College",2,1,2669,8299,9461,NA,"21100",1,0.6831,0.2861,0.0022,0.0154,NA,NA,5855,5672
"4170","Paul D Camp Community College",2,1,2811,8250,8371,NA,"20700",1,0.4889,0.4763,0.0058,0.0155,NA,NA,4897,5847
"4171","Southside Regional Medical Center",1,1,NA,NA,NA,NA,"55100",3,0.7692,0.1329,0.042,0.049,NA,NA,NA,NA
"4172","Miller-Motte Technical College",2,1,12480,12480,14719,NA,"20500",3,0,0,0,0,NA,NA,NA,3552
"4173","Piedmont Virginia Community College",2,1,2861,8324,9461,NA,"25800",1,0.7335,0.1525,0.0274,0.0251,NA,NA,7014,5930
"4174","Radford University",3,1,6904,16568,16527,0.5667,"36500",1,0.8641,0.0555,0.0198,0.0288,0.711,1008,12212,6708
"4175","Legends Institute",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.5313,0.4375,0,0.0313,NA,NA,NA,NA
"4176","Randolph-Macon College",3,1,29182,29182,39465,0.6338,"36800",2,0,0,0,0,0.5819,1070,NA,6702
"4177","Randolph College",3,1,28430,28430,38530,0.6328,"27700",2,0.6688,0.1034,0.0211,0.0633,0.8099,1106,NA,6434
"4178","Rappahannock Community College",2,1,2816,8279,8871,NA,"23400",1,0.7138,0.2223,0.0113,0.0198,NA,NA,5320,5403
"4179","Fortis College",1,1,NA,NA,NA,NA,"21800",3,0,0,0,0,NA,NA,NA,4139
"4180","Richard Bland College of the College of William and Mary",2,1,3102,11830,15018,NA,"29600",1,0,0,0,0,0.7978,870,11800,5834
"4181","Bon Secours Memorial School of Nursing",1,1,6568,6568,20225,NA,"57800",2,0.8323,0.0808,0.021,0.0359,0.2609,NA,NA,NA
"4182","University of Richmond",3,1,40010,40010,49062,0.8575,"47700",2,0,0,0,0,0.3928,1261,NA,9181
"4183","Riverside School of Health Careers",1,1,NA,NA,NA,NA,"47800",2,0.749,0.2099,0.0123,0.0206,0.3438,NA,NA,NA
"4184","Roanoke College",3,1,29584,29584,39431,0.6416,"34600",2,0,0,0,0,0.6843,1078,NA,6305
"4185","Bon Secours St Mary's Hospital School of Medical Imaging",1,1,NA,NA,NA,NA,NA,2,0.8182,0.0909,0.0545,0.0364,0.6333,NA,NA,NA
"4186","Saint Pauls College",3,0,13210,13210,24171,0.1733,"22600",2,0.014,0.9719,0.0035,0.007,0.5962,735,NA,3845
"4187","Shenandoah University",3,1,25450,25450,34790,0.5152,"36800",2,0.5958,0.1241,0.0215,0.025,0.6151,1000,NA,6925
"4188","Southern Virginia University",3,1,17000,17000,25200,0.309,"24600",2,0,0,0,0,0.9854,1038,NA,5096
"4189","Southside Virginia Community College",2,1,2856,8019,11409,NA,"20300",1,0.509,0.4614,0.0034,0.014,NA,NA,7934,5883
"4190","Southwest Virginia Community College",2,1,2638,7726,11094,NA,"19500",1,0.964,0.02,0.0041,0.0022,NA,NA,7436,5829
"4191","Springfield Beauty Academy",1,1,NA,NA,NA,NA,"21000",3,0,0,0,0,NA,NA,NA,NA
"4192","Staunton School of Cosmetology",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.4737,0.5,0,0.0263,NA,NA,NA,NA
"4193","Sweet Briar College",3,1,27335,27335,39971,0.6015,"33200",2,0,0,0,0,0.8234,1055,NA,6463
"4194","Thomas Nelson Community College",2,1,2802,8265,8094,NA,"24700",1,0.4821,0.386,0.0308,0.0496,NA,NA,5787,5743
"4195","Tidewater Community College",2,1,2725,7095,7714,NA,"25700",1,0.5079,0.3515,0.0435,0.0467,NA,NA,5299,5976
"4196","Union Theological Seminary & Presbyterian School of Christian Education",4,1,NA,NA,NA,NA,"PrivacySuppressed",2,NA,NA,NA,NA,NA,NA,NA,6100
"4197","The University of Virginia's College at Wise",3,1,6748,19276,15456,0.4986,"31900",1,0,0,0,0,0.8914,941,11263,5978
"4198","Virginia Highlands Community College",2,1,2811,8274,9126,NA,"20700",1,0.9609,0.0216,0.0051,0.0067,NA,NA,5720,5842
"4199","Virginia Intermont College",3,0,24323,24323,30669,0.7566,"29300",2,0,0,0,0,0.6466,936,NA,4484
"4200","Virginia Polytechnic Institute and State University",3,1,8605,21878,19538,0.7993,"46600",1,0.744,0.0379,0.0777,0.0333,0.6669,1210,15713,9289
"4201","Virginia Western Community College",2,1,2659,2659,8866,NA,"26000",1,0.7984,0.1334,0.0211,0.021,NA,NA,6344,5717
"4202","Virginia Commonwealth University",3,1,7117,20751,21276,0.5012,"35000",1,0,0,0,0,0.7031,1079,17411,7931
"4203","University of Virginia-Main Campus",3,1,9872,31872,20488,0.93,"49000",1,0,0,0,0,0.3206,1332,14738,11034
"4204","Virginia Military Institute",3,1,11190,28738,19675,0.7292,"41700",1,0,0,0,0,0.5443,1132,10633,7751
"4205","Virginia School of Hair Design",1,1,NA,NA,NA,NA,"15800",3,0.0426,0.9149,0.0319,0.0106,NA,NA,NA,NA
"4206","Virginia University of Lynchburg",3,1,4300,4300,19104,0.5,"PrivacySuppressed",2,0,0,0,0,NA,NA,NA,1425
"4207","Virginia State University",3,1,6174,14508,16189,0.438,"28100",1,0,0,0,0,0.6453,840,10833,6929
"4208","Virginia Union University",3,1,13934,13934,23935,0.3555,"27300",2,0.0023,0.9671,8e-04,0.0069,NA,NA,NA,4253
"4209","Virginia Wesleyan College",3,1,27476,27476,37615,0.4464,"31800",2,0,0,0,0,0.7535,974,NA,6600
"4210","Wards Corner Beauty Academy",1,1,NA,NA,NA,NA,"13800",3,0,0,0,0,NA,NA,NA,NA
"4211","Washington and Lee University",3,1,38877,38877,49268,0.9071,"54200",2,0.8458,0.033,0.029,0.0228,0.1898,1382,NA,10075
"4212","Sanford-Brown College",2,1,45628,45628,52722,0.2888,"28000",3,0.0053,0.0413,0,0.0147,NA,NA,NA,4302
"4213","Washington County Adult Skill Center",1,1,NA,NA,NA,NA,"19700",1,0,0,0,0,NA,NA,NA,NA
"4214","Woodrow Wilson Rehabilitation Center",1,1,NA,NA,NA,NA,"12900",1,0.5413,0.4404,0.0092,0,0.9098,NA,NA,NA
"4215","Wytheville Community College",1,1,2811,8274,5119,NA,"24000",1,0.9499,0.0268,0.0039,0.0121,NA,NA,1732,5665
"4216","Academy of Hair Design",1,1,NA,NA,NA,NA,"PrivacySuppressed",3,0.7867,0,0,0.2,NA,NA,NA,NA
"4217","The Art Institute of Seattle",2,1,17156,17156,33568,0.4052,"29200",3,0,0,0,0,0.4871,NA,NA,5054
"4218","Evergreen Beauty & Barber College",1,1,6449,6449,26085,NA,"PrivacySuppressed",3,0,0,0,0,NA,NA,NA,NA
"4219","Bellevue College",2,1,2868,8052,9733,0.2601,"34500",1,0.5925,0.0542,0.1577,0.0566,NA,NA,4219,6192
"4220","Bellingham Beauty School",1,0,NA,NA,NA,NA,"17300",3,0.8889,0,0.037,0.037,NA,NA,NA,NA
"4221","Bellingham Technical College",1,1,3502,3502,12801,NA,"33800",1,0.7705,0.0278,0.0477,0.0699,NA,NA,7711,6021
"4222","Big Bend Community College",2,1,3015,3405,12715,NA,"27600",1,0.6381,0.0203,0.0155,0.2748,NA,NA,8174,5788
"4223","Everest College-Bremerton",1,1,NA,NA,NA,NA,"27900",3,0.6988,0.0695,0.1139,0.0637,0.2483,NA,NA,NA
"4224","Everest College-Renton",1,1,NA,NA,NA,NA,"29500",3,0,0,0,0,0.8259,NA,NA,NA
"4225","Central Washington University",3,1,6422,16685,17814,0.561,"36900",1,0.7349,0.0266,0.0368,0.0783,0.7915,982,13786,6539
"4226","Centralia College",2,1,2899,3289,11260,NA,"23900",1,0.8307,0.0092,0.0077,0.0659,NA,NA,6045,5783
"4227","City University of Seattle",3,1,13880,13880,27191,0.2581,"43700",2,0,0,0,0,NA,NA,NA,5868
"4228","Clare's Beauty College Inc",1,1,NA,NA,NA,NA,"18600",3,0,0,0,0,NA,NA,NA,NA
"4229","Clark College",2,1,2835,8019,10525,NA,"28500",1,0.7545,0.0251,0.0414,0.0523,NA,NA,5120,5765
"4230","Clover Park Technical College",1,1,3859,3859,14027,NA,"31000",1,0.6213,0.1805,0.0515,0.0472,NA,NA,9800,5162
"4231","Columbia Basin College",2,1,3075,4270,11688,0.1576,"28400",1,0.689,0.0156,0.0224,0.2423,NA,NA,7022,5967
"4232","Cornish College of the Arts",3,1,27350,27350,27400,0.5676,"23600",2,0,0,0,0,0.6663,NA,NA,5625
"4233","Divers Institute of Technology",1,1,NA,NA,NA,NA,"46300",3,0.8347,0.0042,0,0.0551,1,NA,NA,NA
"4234","Eastern Washington University",3,1,5872,14590,16379,0.4716,"34600",1,0.6197,0.0379,0.0332,0.0921,0.8284,958,14425,6270
"4235","Edmonds Community College",1,1,3128,8348,11715,NA,"30100",1,0.5665,0.0518,0.1186,0.0575,NA,NA,7200,5972
"4236","Everett Community College",2,1,3030,8250,11581,NA,"29300",1,0.6754,0.0197,0.0543,0.0523,NA,NA,6967,5617
"4237","Paroba College of Cosmetology",1,1,NA,NA,NA,NA,"19200",3,0.7847,0.0347,0.0556,0.1042,0.7333,NA,NA,NA
"4238","The Evergreen State College",3,1,5959,16987,17017,0.5771,"25800",1,0.6892,0.042,0.0265,0.0593,0.9536,1088,10915,6742
"4239","Pierce College at Fort Steilacoom",2,1,2883,7888,11650,NA,"29200",1,0.5569,0.1312,0.051,0.1082,NA,NA,7888,5539
"4240","Professional Beauty School",1,0,NA,NA,NA,NA,"12400",3,0.1429,0,0,0.8571,NA,NA,NA,NA
"4241","Glen Dow Academy of Hair Design",1,1,NA,NA,NA,NA,"16800",3,0.8487,0.0329,0,0.0592,NA,NA,NA,NA
"4242","Gonzaga University",3,1,29675,29675,39922,0.8283,"42800",2,0,0,0,0,0.7801,1193,NA,7729
"4243","Grays Harbor College",1,1,2816,8000,11882,NA,"23400",1,0.8096,0.0146,0.022,0.0439,NA,NA,7394,5517
"4244","Green River Community College",2,1,3021,8652,10671,NA,"30500",1,0.6447,0.046,0.0621,0.0523,NA,NA,6262,6051
"4245","Greenwood Academy of Hair",1,1,NA,NA,NA,NA,"22300",3,0.8,0.1059,0,0.0588,NA,NA,NA,NA
"4246","Heritage University",3,1,11220,11220,21263,0.1842,"27300",2,0,0,0,0,NA,NA,NA,5364
"4247","Highline Community College",2,1,2925,3315,11122,NA,"30300",1,0.4469,0.1024,0.1489,0.0609,NA,NA,5890,6276
"4248","Interface College-Spokane",1,1,NA,NA,NA,NA,"24000",3,0.836,0.0317,0.0053,0.0053,1,NA,NA,3142
"4249","International Air and Hospitality Academy",1,1,NA,NA,NA,NA,"21600",3,0,0,0,0,0.6711,NA,NA,NA
"4250","ITT Technical Institute-Seattle",2,0,17148,17148,25587,0.4247,"32800",3,0,0.0826,0.0118,0,0.4006,NA,NA,5475
"4251","ITT Technical Institute-Spokane Valley",2,1,17148,17148,25355,0.4872,"32300",3,0,0.0121,0,0,0.4401,NA,NA,5407
"4252","Bastyr University",3,1,NA,NA,NA,NA,"32900",2,0,0,0,0,NA,NA,NA,5298
"4253","Gene Juarez Academy of Beauty",1,1,NA,NA,NA,NA,"24300",3,0,0,0,0,NA,NA,NA,NA
"4254","Bates Technical College",1,1,4230,4230,16819,NA,"32200",1,0.6391,0.1242,0.0493,0.0777,NA,NA,12465,5891
"4255","Lake Washington Technical College",2,1,2922,8056,11102,0.1057,"35500",1,0.6991,0.0299,0.0944,0.0554,NA,NA,6059,5617
"4256","Lower Columbia College",1,1,3132,3855,12493,NA,"24800",1,0.8468,0.015,0.0195,0.0511,NA,NA,8242,5912
"4257","Trinity Lutheran College",3,1,19425,19425,27212,0.4857,"PrivacySuppressed",2,0,0,0,0,0.6328,NA,NA,4727
"4258","Cascade Beauty College",1,1,NA,NA,NA,NA,NA,3,0.5714,0.1786,0.0357,0.0714,NA,NA,NA,NA
"4259","BJ's Beauty and Barber College",1,1,NA,NA,NA,NA,"16100",3,0.5,0.2143,0.2024,0.0357,NA,NA,NA,NA
"4260","Northwest Hair Academy",1,1,NA,NA,NA,NA,"16800",3,0.8761,0.0085,0.0171,0.0299,NA,NA,NA,NA
"4261","Seattle Community College-North Campus",1,1,3029,8257,12798,NA,"31800",1,0.4876,0.0688,0.1152,0.0564,NA,NA,7587,5978
"4262","Northwest University",3,1,21994,21994,30248,0.5275,"32800",2,0,0,0,0,0.7547,996,NA,5606
"4263","Olympic College",2,1,2823,3213,11503,0.1897,"27000",1,0.7122,0.0331,0.0535,0.0543,NA,NA,7275,5873
"4264","Perry Technical Institute",1,1,NA,NA,NA,NA,"50800",2,0.6379,0.0082,0.0123,0.2428,0.7431,NA,NA,NA
"4265","Pacific Lutheran University",3,1,28100,28100,38351,0.6811,"38600",2,0,0,0,0,0.7834,1115,NA,6739
"4266","Peninsula College",1,1,3108,3684,12826,0.215,"21600",1,0.7318,0.0078,0.0182,0.0536,NA,NA,8185,5402
"4267","University of Puget Sound",3,1,35635,35635,45986,0.7809,"34300",2,0,0,0,0,0.6341,1239,NA,8107
"4268","Renton Technical College",1,1,4185,4185,15061,NA,"33000",1,0.5378,0.1067,0.1567,0.0722,NA,NA,11097,6151
"4269","Saint Martin's University",3,1,25182,25182,36152,0.5461,"37800",2,0,0,0,0,0.7898,981,NA,5561
"4270","Seattle Community College-South Campus",2,1,3115,8257,10888,0.0769,"28100",1,0.3825,0.1616,0.1587,0.0772,NA,NA,5143,6093
"4271","Seattle Community College-Central Campus",2,1,2773,8199,12003,0.2602,"26300",1,0.4321,0.1149,0.1215,0.0596,NA,NA,6860,5938
"4272","Everest College-Seattle",1,1,NA,NA,NA,NA,"21800",3,0.5656,0.2081,0.1176,0.0543,0.9808,NA,NA,NA
"4273","Seattle Midwifery School",1,0,NA,NA,NA,NA,"PrivacySuppressed",2,0.5313,0.0313,0.0313,0,NA,NA,NA,NA
"4274","Seattle Pacific University",3,1,27810,27810,39018,0.7379,"36600",2,0,0,0,0,0.9275,1131,NA,7182
"4275","Seattle University",3,1,29340,29340,41688,0.7351,"44900",2,0,0,0,0,0.6633,1172,NA,8000
"4276","Shoreline Community College",2,1,2873,5516,10766,NA,"32100",1,0.5115,0.0484,0.1217,0.0468,NA,NA,7063,6353
"4277","Skagit Valley College",2,1,3300,3600,13232,NA,"26100",1,0.7506,0.0212,0.0467,0.0746,NA,NA,9026,6020
